dataset,sample_id,iteration,n_inclusion,n_exclusion,miou,dice
Bird,sample_000004,31,31,31,0.7246376811594203,0.8403361344537815
Bird,sample_000004,32,32,32,0.7352941176470589,0.847457627118644
Bird,sample_000004,33,33,33,0.7246376811594203,0.8403361344537815
Bird,sample_000004,34,34,34,0.7142857142857143,0.8333333333333334
Bird,sample_000004,35,35,35,0.7142857142857143,0.8333333333333334
Bird,sample_000004,36,36,36,0.7246376811594203,0.8403361344537815
Bird,sample_000004,37,37,37,0.6944444444444444,0.819672131147541
Bird,sample_000004,38,38,38,0.6493506493506493,0.7874015748031497
Bird,sample_000004,39,39,39,0.6410256410256411,0.78125
Bird,sample_000004,40,40,40,0.6329113924050633,0.7751937984496124
Bird,sample_000004,41,41,41,0.6493506493506493,0.7874015748031497
Bird,sample_000004,42,42,42,0.6329113924050633,0.7751937984496124
Bird,sample_000004,43,43,43,0.625,0.7692307692307693
Bird,sample_000004,44,44,44,0.625,0.7692307692307693
Bird,sample_000004,45,45,45,0.625,0.7692307692307693
Bird,sample_000004,46,46,46,0.6024096385542169,0.7518796992481203
Bird,sample_000004,47,47,47,0.6097560975609756,0.7575757575757576
Bird,sample_000004,48,48,48,0.5882352941176471,0.7407407407407407
Bird,sample_000004,49,49,49,0.5813953488372093,0.7352941176470589
Bird,sample_000004,50,50,50,0.4424778761061947,0.6134969325153374
Bird,sample_000004,51,51,51,0.43859649122807015,0.6097560975609756
Bird,sample_000004,52,52,52,0.43103448275862066,0.6024096385542169
Bird,sample_000004,53,53,53,0.43859649122807015,0.6097560975609756
Bird,sample_000004,54,54,54,0.44642857142857145,0.6172839506172839
Bird,sample_000004,55,55,55,0.44642857142857145,0.6172839506172839
Bird,sample_000004,56,56,56,0.45045045045045046,0.6211180124223602
Bird,sample_000004,57,57,57,0.4132231404958678,0.5847953216374269
Bird,sample_000004,58,58,58,0.43103448275862066,0.6024096385542169
Bird,sample_000004,59,59,59,0.4132231404958678,0.5847953216374269
Bird,sample_000004,60,60,60,0.4132231404958678,0.5847953216374269
Bird,sample_000004,61,61,61,0.42016806722689076,0.591715976331361
Bird,sample_000004,62,62,62,0.390625,0.5617977528089888
Bird,sample_000004,63,63,63,0.3787878787878788,0.5494505494505495
